version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58768 5432 6 14 2720 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58788 5432 6 14 2720 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58912 22 6 1 52 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58788 6 15 4924 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58923 22 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58864 80 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58765 5432 6 15 2791 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58953 22 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58820 5432 6 14 2720 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58857 80 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58865 5432 6 14 2720 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58840 6 15 4924 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58994 6 16 4964 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58819 80 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58841 80 6 1 52 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58840 5432 6 14 2720 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 176.65.149.45 10.0.1.149 59010 8081 6 1 40 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58981 22 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58854 80 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58837 6 13 5176 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58894 22 6 1 52 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58844 6 15 4924 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58905 22 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58971 80 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58969 22 6 1 52 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58867 5432 6 14 2720 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58846 5432 6 13 2714 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58844 5432 6 14 2720 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58944 5432 6 14 2720 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58826 80 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58977 80 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58964 80 6 1 52 1777093029 1777093059 REJECT OK
